symbol,timeframe,param_combo_id,entry_q_high,entry_q_low,hmax_bars,tp_R,n_trades,n_long,n_short,mean_final_R_gross,median_final_R_gross,std_final_R_gross,sharpe_R_gross,win_rate_gross,mean_cost_R_low_cost,mean_final_R_net_low_cost,median_final_R_net_low_cost,std_final_R_net_low_cost,sharpe_R_net_low_cost,win_rate_net_low_cost,mean_cost_R_high_cost,mean_final_R_net_high_cost,median_final_R_net_high_cost,std_final_R_net_high_cost,sharpe_R_net_high_cost,win_rate_net_high_cost,median_MFE_R,p75_MFE_R,p90_MFE_R,median_MAE_R,median_bars_held,mean_bars_held,pct_stop,pct_tp_hit,pct_hmax,pct_end_of_data
ETHUSD,1D,qh0.80_ql0.20_hmax80_tpNone,0.8,0.2,80,,149,65,84,1.1674735866384014,-0.1757560093047298,5.980057352940995,0.19522782437266045,0.11409395973154363,0.0012254427325292716,1.1662481439058723,-0.1766613595244248,5.97982071395028,0.19503062043066616,0.11409395973154363,0.02859366375901634,1.1388799228793853,-0.21697912651885645,5.974547181917293,0.1906219648455278,0.11409395973154363,0.40034144259496796,1.9237915913088728,6.465589272396032,-0.5398204827301842,1.0,14.281879194630873,0.8791946308724832,0.0,0.11409395973154363,0.006711409395973154
ETHUSD,1D,qh0.80_ql0.20_hmax80_tp2.0,0.8,0.2,80,2.0,440,218,222,0.11170665544754947,-0.20536229904022663,1.3715418430711912,0.08144604265037449,0.18863636363636363,0.0011836829819854965,0.110522972465564,-0.206100206529855,1.3714829587050923,0.08058647157374528,0.18863636363636363,0.027619269579661588,0.0840873858678879,-0.23403813197217127,1.370206295618228,0.06136841301692329,0.18863636363636363,0.5228954346846597,1.6284213932708007,2.8278431685177283,-0.5589661589219326,1.0,3.4386363636363635,0.8090909090909091,0.18863636363636363,0.0022727272727272726,0.0
ETHUSD,1D,qh0.80_ql0.20_hmax80_tp3.0,0.8,0.2,80,3.0,356,179,177,0.14339090415604067,-0.21113556141231032,1.629940203861287,0.08797310712156879,0.14887640449438203,0.0011893186211823109,0.1422015855348583,-0.2124370358880442,1.6298667419570734,0.08724736929358334,0.14887640449438203,0.027750767827587258,0.11564013632845337,-0.23975353148814063,1.6282594391733467,0.07102070686423465,0.14887640449438203,0.541791573136018,1.662340333964717,3.7210403049648058,-0.5665344502331964,1.0,4.657303370786517,0.848314606741573,0.14887640449438203,0.0028089887640449437,0.0
ETHUSD,1D,qh0.80_ql0.20_hmax80_tp4.0,0.8,0.2,80,4.0,304,159,145,0.1189437190735948,-0.23712479698445277,1.7553113039516204,0.06776217916777748,0.11842105263157894,0.0011927028864946662,0.11775101618710013,-0.2379481785793106,1.75523457735511,0.06708562929778551,0.11842105263157894,0.02782973401820888,0.09111398505538591,-0.257395740950333,1.7535543609468236,0.051959601073438826,0.11842105263157894,0.5493752172030429,1.662340333964717,4.5282871234114745,-0.6085868702995081,1.5,5.901315789473684,0.8782894736842105,0.11513157894736842,0.003289473684210526,0.003289473684210526
ETHUSD,1D,qh0.80_ql0.20_hmax100_tpNone,0.8,0.2,100,,134,73,61,0.8978345258725002,-0.19138918486218978,7.1729623009823245,0.12516927988727103,0.08208955223880597,0.0012351662516838467,0.8965993596208163,-0.19258600862851416,7.172718569526925,0.12500132982074483,0.08208955223880597,0.028820545872623088,0.8690139799998771,-0.22264929494197272,7.1672854336562155,0.12124729621052231,0.08208955223880597,0.6014549381540153,1.6350473269483834,6.583985857787664,-0.5606298357502097,2.0,16.507462686567163,0.9104477611940298,0.0,0.08208955223880597,0.007462686567164179
ETHUSD,1D,qh0.80_ql0.20_hmax100_tp2.0,0.8,0.2,100,2.0,432,212,220,0.08985238355610477,-0.20668170299207694,1.464890622655793,0.061337264479996254,0.1875,0.0011727685641092678,0.08867961499199552,-0.20763977145376428,1.4648401067064138,0.06053876773717315,0.1875,0.027364599829216248,0.06248778372688855,-0.2366610533345072,1.4637473594752697,0.042690279386252444,0.1875,0.5293584158688351,1.6284213932708007,2.8591794439979767,-0.560366770286906,1.0,3.5162037037037037,0.8101851851851852,0.1875,0.0023148148148148147,0.0
ETHUSD,1D,qh0.80_ql0.20_hmax100_tp3.0,0.8,0.2,100,3.0,348,173,175,0.10499037359998818,-0.21501455513416434,1.7074259152924016,0.061490441640630875,0.14655172413793102,0.0011755392596767406,0.10381483434031138,-0.2162045095101635,1.7073658482292953,0.06080409447569628,0.14655172413793102,0.027429249392457285,0.07756112420753086,-0.24055818289731284,1.7060556843234673,0.045462246584458674,0.14655172413793102,0.5424827912301419,1.662340333964717,3.6596513623127493,-0.5697992747242483,1.0,4.778735632183908,0.8505747126436781,0.14655172413793102,0.0028735632183908046,0.0
ETHUSD,1D,qh0.80_ql0.20_hmax100_tp4.0,0.8,0.2,100,4.0,296,153,143,0.07406111808658532,-0.24414250760343198,1.844326141531816,0.040156193863344264,0.11486486486486487,0.0011766220340798715,0.07288449605250544,-0.24517049924529793,1.8442637510377602,0.039519562216355233,0.11486486486486487,0.02745451412853034,0.04660660395805501,-0.2663728396963757,1.8429016171916364,0.02528979492083682,0.11486486486486487,0.5612329548531483,1.662340333964717,4.438198335182776,-0.6124190172337453,1.5,6.081081081081081,0.8817567567567568,0.11148648648648649,0.0033783783783783786,0.0033783783783783786
ETHUSD,1D,qh0.80_ql0.20_hmax150_tpNone,0.8,0.2,150,,107,52,55,1.2078255637160082,-0.20710681244743365,8.88432913863305,0.135950114507109,0.08411214953271028,0.0012067778855514083,1.2066187858304567,-0.2083466042893176,8.884029801648095,0.13581885842015234,0.08411214953271028,0.028158150662866192,1.1796674130531422,-0.23728681791095563,8.877352800770016,0.13288504349526567,0.08411214953271028,0.43791795932437066,1.3137643549295914,7.007006144419341,-0.5364626990779536,1.0,20.813084112149532,0.9065420560747663,0.0,0.08411214953271028,0.009345794392523364
ETHUSD,1D,qh0.80_ql0.20_hmax150_tp2.0,0.8,0.2,150,2.0,427,209,218,0.07852431424152492,-0.2062565935367202,1.4728587920936287,0.05331421767181411,0.18501170960187355,0.0011744598773952908,0.07734985436412967,-0.20693293861821094,1.472810690809415,0.052518531299919055,0.18501170960187355,0.02740406380589012,0.05112025043563484,-0.23603528875805882,1.4717718063375194,0.03473381553818915,0.18501170960187355,0.521420183921998,1.5919839927012065,2.809927976510288,-0.560453400503778,1.0,3.629976580796253,0.8126463700234192,0.18501170960187355,0.00234192037470726,0.0
ETHUSD,1D,qh0.80_ql0.20_hmax150_tp3.0,0.8,0.2,150,3.0,343,170,173,0.08798327394017473,-0.21257146953918774,1.71337857831323,0.051350749363746354,0.14285714285714285,0.0011775913968921428,0.08680568254328257,-0.21390840069542597,1.7133217671788936,0.050665137282539935,0.14285714285714285,0.02747713259415,0.06050614134602471,-0.2399440870463037,1.7120843599716984,0.03534063084778422,0.14285714285714285,0.5416135494445418,1.6391398613801509,3.6473284040502967,-0.5721437511174835,1.0,4.9358600583090375,0.8542274052478134,0.14285714285714285,0.0029154518950437317,0.0
ETHUSD,1D,qh0.80_ql0.20_hmax150_tp4.0,0.8,0.2,150,4.0,291,150,141,0.06614885918505405,-0.23177177374347732,1.8578696304845737,0.03560468296572616,0.1134020618556701,0.0011794394408170354,0.06496941974423702,-0.23306082531762132,1.857811800267768,0.03497093717182382,0.1134020618556701,0.027520253619064163,0.038628605565989904,-0.252941838093829,1.8565514820775517,0.02080664389805287,0.1134020618556701,0.5429959856327895,1.6391398613801509,4.372862304295463,-0.6133493686109415,1.0,6.278350515463917,0.8831615120274914,0.10996563573883161,0.003436426116838488,0.003436426116838488
ETHUSD,1D,qh0.85_ql0.15_hmax80_tpNone,0.85,0.15,80,,174,80,94,0.7083188210529833,-0.25424430553628985,5.452687416036496,0.12990270063341594,0.07471264367816093,0.0011536702963521066,0.707165150756631,-0.255044609896927,5.452443363800252,0.12969692733566515,0.07471264367816093,0.02691897358154915,0.6813998474714341,-0.27452821998058674,5.4470035898365765,0.12509627288346944,0.07471264367816093,0.3911212005126029,1.056859214044735,3.6173919213321146,-0.5522298749204029,1.0,10.183908045977011,0.9195402298850575,0.0,0.07471264367816093,0.005747126436781609
ETHUSD,1D,qh0.85_ql0.15_hmax80_tp2.0,0.85,0.15,80,2.0,363,185,178,0.10957966110429526,-0.2228537760371581,1.4405736515748273,0.07606668425769371,0.18457300275482094,0.0011865514264421382,0.10839310967785314,-0.2236031365889205,1.4404920512561303,0.07524728066588965,0.18457300275482094,0.02768619995031656,0.08189346115397869,-0.24117227874832198,1.4387069723674568,0.05692157105433313,0.18457300275482094,0.506296908790231,1.6391398613801509,2.9395060168770795,-0.5608062709966415,1.0,3.3608815426997247,0.8126721763085399,0.18457300275482094,0.0027548209366391185,0.0
ETHUSD,1D,qh0.85_ql0.15_hmax80_tp3.0,0.85,0.15,80,3.0,306,151,155,0.11041624261051708,-0.25424430553628985,1.6553614711472726,0.06670219437570422,0.14705882352941177,0.001190663318110937,0.10922557929240616,-0.255044609896927,1.6552683650567086,0.06598662887432405,0.14705882352941177,0.0277821440892552,0.08263409852126188,-0.2779615971500819,1.6532213262362256,0.049983687731266574,0.14705882352941177,0.49452168080175307,1.6048434589313287,3.6307115865047797,-0.5772245898534005,1.0,4.388888888888889,0.8496732026143791,0.14705882352941177,0.0032679738562091504,0.0
ETHUSD,1D,qh0.85_ql0.15_hmax80_tp4.0,0.85,0.15,80,4.0,275,138,137,0.11329452818551981,-0.278709677419354,1.8612570530295658,0.06086989865323033,0.12727272727272726,0.0011657526840405759,0.11212877550147922,-0.28033752774193466,1.8611671783518362,0.06024648231803405,0.12727272727272726,0.02720089596094677,0.08609363222457311,-0.3052819498516574,1.859189670920865,0.04630707322181418,0.12727272727272726,0.4798364616242322,1.6000389545047469,4.587356642581152,-0.6201952146497365,1.0,5.218181818181818,0.8690909090909091,0.12363636363636364,0.0036363636363636364,0.0036363636363636364
ETHUSD,1D,qh0.85_ql0.15_hmax100_tpNone,0.85,0.15,100,,143,69,74,0.6164660232156777,-0.22635215630212135,6.861896459320488,0.08983901562349199,0.055944055944055944,0.0011533118197371932,0.6153127113959405,-0.22693466761972916,6.86164571744887,0.08967421763429533,0.055944055944055944,0.026910609127201175,0.5895554140884764,-0.24527978640560685,6.856055522059541,0.08599046670371414,0.055944055944055944,0.5343461462903486,1.2629840337634872,4.557755974325457,-0.5674547983310131,2.0,12.783216783216783,0.9370629370629371,0.0,0.055944055944055944,0.006993006993006993
ETHUSD,1D,qh0.85_ql0.15_hmax100_tp2.0,0.85,0.15,100,2.0,355,179,176,0.08096381534411483,-0.22356286883763582,1.5467202812394396,0.05234547986869078,0.18309859154929578,0.0011733727030307014,0.07979044264108416,-0.22474840958032483,1.5466495876261448,0.05158921793238861,0.18309859154929578,0.027378696404049697,0.05358511894006516,-0.24527978640560685,1.5451050510132074,0.03468056680348469,0.18309859154929578,0.5105626691440824,1.6391398613801509,2.9381701679976158,-0.5612344553681884,1.0,3.453521126760563,0.8140845070422535,0.18309859154929578,0.0028169014084507044,0.0
ETHUSD,1D,qh0.85_ql0.15_hmax100_tp3.0,0.85,0.15,100,3.0,298,145,153,0.06646032278573145,-0.2559898956493842,1.7480750217748648,0.0380191478957537,0.14429530201342283,0.0011747775475634238,0.06528554523816803,-0.25708048801803807,1.7479972396497447,0.037348769069709534,0.14429530201342283,0.027411476109813225,0.03904884667591823,-0.28201601281582667,1.7462902566981733,0.02236102877293175,0.14429530201342283,0.4995524821051372,1.6048434589313287,3.6216397979059995,-0.5835229640104918,1.0,4.523489932885906,0.8523489932885906,0.14429530201342283,0.003355704697986577,0.0
ETHUSD,1D,qh0.85_ql0.15_hmax100_tp4.0,0.85,0.15,100,4.0,267,132,135,0.06432135281778163,-0.2843221832055488,1.959186828017829,0.03283063763901351,0.12359550561797752,0.0011472761121464868,0.06317407670563517,-0.28505746953256794,1.9591122532751768,0.03224627715947512,0.12359550561797752,0.026769775950084694,0.03755157686769699,-0.30600613744030447,1.9574743408313708,0.019183687920909465,0.12359550561797752,0.4975759122225065,1.6000389545047469,4.554124440648396,-0.6293642043366432,1.0,5.393258426966292,0.8726591760299626,0.1198501872659176,0.003745318352059925,0.003745318352059925
ETHUSD,1D,qh0.85_ql0.15_hmax150_tpNone,0.85,0.15,150,,104,46,58,1.2819438225749207,-0.2394099219636553,9.061870352923812,0.14146569887322452,0.08653846153846154,0.0012116157253090594,1.2807322068496114,-0.24093831167483468,9.061571338769935,0.14133665773506615,0.08653846153846154,0.028271033590544718,1.253672788984376,-0.2720258482589823,9.054901780873204,0.13845238958113568,0.08653846153846154,0.48565195550261586,1.1340177805391984,7.787714315667386,-0.5605432055333377,2.0,20.067307692307693,0.9038461538461539,0.0,0.08653846153846154,0.009615384615384616
ETHUSD,1D,qh0.85_ql0.15_hmax150_tp2.0,0.85,0.15,150,2.0,351,177,174,0.0659131465170492,-0.22356286883763582,1.554883591317748,0.042391049005275364,0.1794871794871795,0.001173824292400824,0.0647393222246484,-0.22474840958032483,1.5548151898255846,0.04163795327463369,0.1794871794871795,0.027389233489352564,0.03852391302769663,-0.24527978640560685,1.553321885749928,0.02480098515389016,0.1794871794871795,0.506296908790231,1.5919839927012065,2.9036340625565,-0.5656141021353795,1.0,3.6153846153846154,0.8176638176638177,0.1794871794871795,0.002849002849002849,0.0
ETHUSD,1D,qh0.85_ql0.15_hmax150_tp3.0,0.85,0.15,150,3.0,294,143,151,0.04464794773558379,-0.2559898956493842,1.7522312838923257,0.02548062470178303,0.13945578231292516,0.0011752264117163415,0.04347272132386744,-0.25708048801803807,1.7521566499147874,0.024810978702150658,0.13945578231292516,0.027421949606714627,0.017225998128869158,-0.28201601281582667,1.7505201385915787,0.009840502687806112,0.13945578231292516,0.49452168080175307,1.5619793924327272,3.6126091762426906,-0.5856253816806405,1.0,4.727891156462585,0.8571428571428571,0.13945578231292516,0.003401360544217687,0.0
ETHUSD,1D,qh0.85_ql0.15_hmax150_tp4.0,0.85,0.15,150,4.0,263,130,133,0.053919147403037215,-0.2843221832055488,1.9717889351969002,0.02734529362680135,0.12167300380228137,0.0011477800237164716,0.05277136737932077,-0.28505746953256794,1.9717188270215493,0.026764144388191725,0.12167300380228137,0.026781533886717675,0.02713761351631959,-0.30600613744030447,1.970180735780951,0.013774174634573632,0.12167300380228137,0.4798364616242322,1.5657486864280326,4.548862745447229,-0.6293642043366432,1.0,5.623574144486692,0.8745247148288974,0.11787072243346007,0.0038022813688212928,0.0038022813688212928
ETHUSD,1D,qh0.75_ql0.25_hmax80_tpNone,0.75,0.25,80,,164,73,91,0.9668964575174738,-0.1898104822217006,5.778577498216619,0.16732430391664327,0.09146341463414634,0.001230143856628335,0.9656663136608454,-0.19118221420217274,5.77836075472239,0.1671176921364161,0.09146341463414634,0.028703356654661148,0.9381931008628127,-0.22207109691977153,5.773531177845284,0.16249901004482875,0.09146341463414634,0.4964982506843837,1.8430336888910572,5.731808409130377,-0.5399549959733025,2.0,13.695121951219512,0.9024390243902439,0.0,0.09146341463414634,0.006097560975609756
ETHUSD,1D,qh0.75_ql0.25_hmax80_tp2.0,0.75,0.25,80,2.0,514,253,261,0.09802132851513051,-0.2249575125698786,1.361486943288768,0.07199579033666902,0.188715953307393,0.0011846458358410472,0.09683668267928947,-0.22584153860002698,1.3614383428331265,0.07112821758624355,0.188715953307393,0.027641736169624436,0.07037959234550609,-0.2510249553779059,1.3603909785128434,0.051734827308575565,0.188715953307393,0.541297759182591,1.8271450716843332,2.816927055296491,-0.5856060815257054,1.0,3.3249027237354087,0.8093385214007782,0.188715953307393,0.0019455252918287938,0.0
ETHUSD,1D,qh0.75_ql0.25_hmax80_tp3.0,0.75,0.25,80,3.0,429,219,210,0.17893820592671827,-0.22635215630212135,1.6584941288676371,0.10789197429893294,0.15384615384615385,0.001182778298785577,0.17775542762793275,-0.22693466761972916,1.6584555052291852,0.10718130638263243,0.15384615384615385,0.027598160304996795,0.15134004562172151,-0.2556512116196935,1.6576232886315356,0.09129942047729163,0.15384615384615385,0.5416135494445418,1.5871610403984509,3.8296628373765618,-0.5909743297579844,1.0,4.226107226107226,0.8438228438228438,0.15384615384615385,0.002331002331002331,0.0
ETHUSD,1D,qh0.75_ql0.25_hmax80_tp4.0,0.75,0.25,80,4.0,361,186,175,0.13594699996389933,-0.2625966751458163,1.7771539095452273,0.07649703226812139,0.12188365650969529,0.0011743104122866443,0.1347726895516127,-0.2642218505100343,1.7771118185419397,0.07583804696217099,0.12188365650969529,0.027400576286688374,0.108546423677211,-0.2883094722937112,1.7762012449478775,0.06111155702989966,0.12188365650969529,0.5419695968274942,1.595762110206977,4.539422102384638,-0.6483899910278134,1.0,5.351800554016621,0.8753462603878116,0.11911357340720222,0.002770083102493075,0.002770083102493075
ETHUSD,1D,qh0.75_ql0.25_hmax100_tpNone,0.75,0.25,100,,133,72,61,1.1418759018730125,-0.2062565935367202,7.628350494677609,0.14968844216973418,0.09774436090225563,0.0012938953122717887,1.1405820065607404,-0.20700172110176993,7.628091802085173,0.14952389616613648,0.09774436090225563,0.030190890619675073,1.1116850112533374,-0.23728681791095563,7.622322456544102,0.14584596985908233,0.09774436090225563,0.6544992410068159,2.2695862485963563,6.710888121591899,-0.5864751645721106,2.0,17.36842105263158,0.9022556390977443,0.0,0.09022556390977443,0.007518796992481203
