symbol,timeframe,param_combo_id,entry_q_high,entry_q_low,hmax_bars,tp_R,n_trades,n_long,n_short,mean_final_R_gross,median_final_R_gross,std_final_R_gross,sharpe_R_gross,win_rate_gross,mean_cost_R_low_cost,mean_final_R_net_low_cost,median_final_R_net_low_cost,std_final_R_net_low_cost,sharpe_R_net_low_cost,win_rate_net_low_cost,mean_cost_R_high_cost,mean_final_R_net_high_cost,median_final_R_net_high_cost,std_final_R_net_high_cost,sharpe_R_net_high_cost,win_rate_net_high_cost,median_MFE_R,p75_MFE_R,p90_MFE_R,median_MAE_R,median_bars_held,mean_bars_held,pct_stop,pct_tp_hit,pct_hmax,pct_end_of_data
BTCUSD,4H,qh0.85_ql0.15_hmax100_tp4.0,0.85,0.15,100,4.0,657,332,325,0.12503517686694932,-0.2351330798479096,2.7418111781893257,0.04560313192300928,0.1232876712328767,0.003693567679451386,0.12134160918749792,-0.2390813703697441,2.7415798711947104,0.04425973886896841,0.1232876712328767,0.08618324585386568,0.0388519310130836,-0.31777072914583027,2.736870116845949,0.014195752576617603,0.1232876712328767,0.44831180002977533,1.6226015171798251,4.5469385071865585,-0.5514177812966367,1.0,5.529680365296803,0.8721461187214612,0.1202435312024353,0.0060882800608828,0.0015220700152207
BTCUSD,4H,qh0.85_ql0.15_hmax150_tpNone,0.85,0.15,150,,250,140,110,1.3661371641456508,-0.24866991110128023,9.961787005320252,0.1371377608672062,0.072,0.0038497395834776126,1.3622874245621732,-0.25209565498124625,9.961096281226789,0.13676079279844053,0.072,0.08982725694781095,1.2763099071978399,-0.3375954251626623,9.945832075518686,0.12832610660493973,0.072,0.4344489001247631,1.6228576441470515,7.398316792993666,-0.5523014419465897,1.0,18.964,0.92,0.0,0.076,0.004
BTCUSD,4H,qh0.85_ql0.15_hmax150_tp2.0,0.85,0.15,150,2.0,776,395,381,0.10053126698200779,-0.20997561759229258,1.9612820121562595,0.051257935553838264,0.17654639175257733,0.0036837788924920212,0.09684748808951577,-0.21611010323433205,1.9611270793891933,0.04938358615683364,0.17654639175257733,0.08595484082481382,0.014576426157193973,-0.29707551240318797,1.958283714170757,0.007443470040482065,0.17654639175257733,0.45950659556384743,1.6304970016477092,2.998771478221162,-0.5200408958495408,1.0,4.423969072164948,0.8195876288659794,0.17654639175257733,0.003865979381443299,0.0
BTCUSD,4H,qh0.85_ql0.15_hmax150_tp3.0,0.85,0.15,150,3.0,723,368,355,0.13436443056932515,-0.23057827325200467,2.258234949416499,0.05949975692478027,0.14107883817427386,0.003713723036742509,0.13065070753258265,-0.23402540987123255,2.2579872450037195,0.05786157907741744,0.14107883817427386,0.08665353752399188,0.04771089304533326,-0.3117082305136821,2.253002229831029,0.021176584920162948,0.14107883817427386,0.43903491016128926,1.5589924388635885,3.738280259606864,-0.5395430579964946,1.0,4.7786998616874135,0.8547717842323651,0.1396957123098202,0.004149377593360996,0.0013831258644536654
BTCUSD,4H,qh0.85_ql0.15_hmax150_tp4.0,0.85,0.15,150,4.0,631,323,308,0.1521519386017556,-0.2351330798479096,2.544813616567335,0.059789030367965144,0.12361331220285261,0.003699073796459428,0.14845286480529615,-0.23757231026616055,2.5445401026497474,0.058341727312808046,0.12361331220285261,0.08631172191738666,0.06584021668436892,-0.31672532947605997,2.5389391060013575,0.02593217636797222,0.12361331220285261,0.4432092012477333,1.619441622985065,4.571682201509086,-0.5507011972622745,1.0,5.839936608557845,0.8716323296354992,0.12202852614896989,0.004754358161648178,0.001584786053882726
BTCUSD,4H,qh0.75_ql0.25_hmax80_tpNone,0.75,0.25,80,,477,254,223,0.6590288259150608,-0.2669816510792376,6.243285121033147,0.10555802164069737,0.07127882599580712,0.0036838036354793014,0.6553450222795816,-0.27074387639540876,6.242701914305249,0.10497778546463163,0.07127882599580712,0.0859554181611837,0.5730734077538772,-0.34487585799690135,6.229902071736973,0.09198754669896397,0.07127882599580712,0.44048641201253863,1.3043780403057732,5.360156345813642,-0.5766819891349801,2.0,10.563941299790356,0.9287211740041929,0.0,0.06918238993710692,0.0020964360587002098
BTCUSD,4H,qh0.75_ql0.25_hmax80_tp2.0,0.75,0.25,80,2.0,1136,552,584,0.031552054659526436,-0.23710132678588608,1.7885811602039388,0.017640829145225252,0.1698943661971831,0.003592403386656099,0.02795965127287033,-0.24031611356362487,1.7883923642540418,0.01563395809092073,0.1698943661971831,0.0838227456886423,-0.05227069102911587,-0.321742893215168,1.784788734270401,-0.029286766565390424,0.1698943661971831,0.4522482808480486,1.571954613003793,2.9208297530140577,-0.543409280767696,1.0,3.7579225352112675,0.8265845070422535,0.16901408450704225,0.0035211267605633804,0.0008802816901408451
BTCUSD,4H,qh0.75_ql0.25_hmax80_tp3.0,0.75,0.25,80,3.0,980,481,499,0.04572611421597385,-0.2516162454928658,2.1569708132110628,0.021199227145731192,0.12959183673469388,0.003603445720730236,0.04212266849524361,-0.2564041897035253,2.1567619998746497,0.019530513101441778,0.12959183673469388,0.08408040015037217,-0.03835428593439833,-0.3392210324053164,2.15261478694657,-0.017817533432817733,0.12959183673469388,0.4476909728747407,1.4835168962965353,3.613106827051305,-0.5564222942108318,1.0,4.4826530612244895,0.8663265306122448,0.12755102040816327,0.00510204081632653,0.0010204081632653062
BTCUSD,4H,qh0.75_ql0.25_hmax80_tp4.0,0.75,0.25,80,4.0,860,419,441,0.04607664265279682,-0.26187389805564243,2.323326606260001,0.01983218482009689,0.11046511627906977,0.0036007176876172147,0.04247592496517961,-0.26348363505122635,2.323077856231761,0.018284331216552225,0.11046511627906977,0.08401674604440167,-0.037940103391604856,-0.34105493635890494,2.3180373093938287,-0.016367339402973746,0.11046511627906977,0.4465816340856382,1.5055518245260255,4.317899996258059,-0.5628856434575832,1.5,5.247674418604651,0.8848837209302326,0.1058139534883721,0.00813953488372093,0.0011627906976744186
BTCUSD,4H,qh0.75_ql0.25_hmax100_tpNone,0.75,0.25,100,,358,184,174,1.1590540746835454,-0.2988937334897084,8.511044887263193,0.1361823477653224,0.08379888268156424,0.0038317770249027268,1.1552222976586428,-0.30492764170726117,8.510380388312342,0.13574273357336147,0.08379888268156424,0.08940813058106364,1.0696459441024824,-0.38020593483845166,8.495732426365636,0.125903911566582,0.08379888268156424,0.502557096232806,1.7289593143633928,7.4631131653699585,-0.5770720739741699,2.0,14.603351955307263,0.9162011173184358,0.0,0.08379888268156424,0.0
