symbol,timeframe,leg,n_trades,mean_final_R_gross,sharpe_R_gross,median_MFE_R,p75_MFE_R,p90_MFE_R,median_MAE_R,median_t_MFE,pct_stop,pct_tp_hit,pct_hmax,pct_end_of_data
BTCUSD,8H,long,57,3.4124622207402857,0.22102647480296084,0.5303533675626814,4.574737745193621,16.03085939248007,-0.5653881002718283,1.0,0.8771929824561403,0.0,0.10526315789473684,0.017543859649122806
BTCUSD,8H,short,81,0.15995025778598726,0.034229897889067815,0.3993024016277215,1.0400782771281578,3.890510825725226,-0.5179907887161771,1.0,0.9753086419753086,0.0,0.024691358024691357,0.0
BTCUSD,4H,long,153,1.512537102546705,0.17907750539677345,0.4271623053721375,1.2168574871949351,7.2775602141325795,-0.5603987529042596,1.0,0.9084967320261438,0.0,0.08496732026143791,0.006535947712418301
BTCUSD,4H,short,127,0.9842320120762055,0.09052121244587283,0.4205789450910843,1.1652543175112853,5.092037102214937,-0.5835712020298177,1.0,0.9448818897637795,0.0,0.05511811023622047,0.0
BTCUSD,1D,long,22,1.3941980489540098,0.1729078404836004,0.3503655797468064,1.1736634039257292,4.545756625082243,-0.6521805627194406,1.0,0.9545454545454546,0.0,0.045454545454545456,0.0
BTCUSD,1D,short,27,0.17970861242936775,0.05987097928963871,0.7305723592368545,1.128634013440546,3.2416630189372793,-0.6369290156551535,1.0,0.9259259259259259,0.0,0.07407407407407407,0.0
ETHUSD,8H,long,149,1.3554206305593564,0.19756237496755977,0.6569078151463834,1.7987362892858114,11.029989589319197,-0.6024993792932283,1.0,0.8993288590604027,0.0,0.10067114093959731,0.0
ETHUSD,8H,short,170,0.0870700677961488,0.025931963305274728,0.59536720764092,1.6455619156815429,4.813049373061594,-0.5649773665711963,1.0,0.9176470588235294,0.0,0.07647058823529412,0.0058823529411764705
ETHUSD,4H,long,367,0.8025132371607341,0.12363496151471579,0.4814196608978319,1.3964566241515064,5.999516921886016,-0.6247104758123186,1.0,0.9291553133514986,0.0,0.0681198910081744,0.0027247956403269754
ETHUSD,4H,short,394,0.052392928938959214,0.011989207142061527,0.4849340542276537,1.7332566211522493,5.217688478106443,-0.620439668891592,1.0,0.9416243654822335,0.0,0.0583756345177665,0.0
ETHUSD,1D,long,52,2.6480509175894658,0.21531958372909288,0.40906058335135015,1.1327560082889343,17.87334384611595,-0.590500742823189,1.0,0.9038461538461539,0.0,0.07692307692307693,0.019230769230769232
ETHUSD,1D,short,55,-0.15384204358253378,-0.05369345773802351,0.4914674493809995,1.6880997944830063,5.417842628304052,-0.5352274908811694,1.0,0.9090909090909091,0.0,0.09090909090909091,0.0
