symbol,timeframe,leg,trend_regime,vol_regime,n_trades,mean_final_R_gross,sharpe_R_gross,median_MFE_R,p75_MFE_R,p90_MFE_R,median_MAE_R,median_t_MFE,pct_stop,pct_tp_hit,pct_hmax,pct_end_of_data
BTCUSD,4H,all,all,all,280,1.2729130079404427,0.132476234497661,0.4238706252316109,1.2019584546389614,7.1025900096272725,-0.5615677733286297,1.0,0.925,0.0,0.07142857142857142,0.0035714285714285713
BTCUSD,4H,long,all,all,153,1.512537102546705,0.17907750539677345,0.4271623053721375,1.2168574871949351,7.2775602141325795,-0.5603987529042596,1.0,0.9084967320261438,0.0,0.08496732026143791,0.006535947712418301
BTCUSD,4H,short,all,all,127,0.9842320120762055,0.09052121244587283,0.4205789450910843,1.1652543175112853,5.092037102214937,-0.5835712020298177,1.0,0.9448818897637795,0.0,0.05511811023622047,0.0
BTCUSD,4H,all,above_ma,all,171,0.7527557469805382,0.11681850005950895,0.4113726806347955,1.0770589833493853,4.468771980449796,-0.5616912092815732,1.0,0.9298245614035088,0.0,0.06432748538011696,0.005847953216374269
BTCUSD,4H,all,below_ma,all,109,2.0889395366023114,0.1592582556979782,0.4521497919556219,1.669942790083617,10.055075096378363,-0.5614443373756861,1.0,0.9174311926605505,0.0,0.08256880733944955,0.0
BTCUSD,4H,all,all,high_vol,82,0.6878207955765914,0.11902643166622519,0.3647612990266471,0.727546964799779,4.38605188896776,-0.5184967757135579,1.0,0.9390243902439024,0.0,0.04878048780487805,0.012195121951219513
BTCUSD,4H,all,all,medium_vol,109,0.23418525539599244,0.056893284554301864,0.4113726806347955,1.065988078223583,7.0578623441488615,-0.5511326559149793,1.0,0.926605504587156,0.0,0.07339449541284404,0.0
BTCUSD,4H,all,all,low_vol,89,3.0841364510997784,0.2006712960872215,0.5007747743316069,1.930363208779725,9.871433907542439,-0.7447556545177554,1.0,0.9101123595505618,0.0,0.0898876404494382,0.0
BTCUSD,4H,long,above_ma,all,93,1.2874870030040113,0.15543259230972128,0.4407441341672286,1.2848696179502763,6.725677967787079,-0.6089752630242834,1.0,0.9032258064516129,0.0,0.08602150537634409,0.010752688172043012
BTCUSD,4H,long,below_ma,all,60,1.8613647568378804,0.21267846686298625,0.33709973942513305,0.9204571646231351,10.038347281549084,-0.522390568103452,1.0,0.9166666666666666,0.0,0.08333333333333333,0.0
BTCUSD,4H,short,above_ma,all,78,0.11519155710639681,0.038530166606261115,0.37078089324697594,0.877528469438299,2.625227339816502,-0.5538772684565296,1.0,0.9615384615384616,0.0,0.038461538461538464,0.0
BTCUSD,4H,short,below_ma,all,49,2.367602532232227,0.1383614479824566,0.6372093023255833,2.0135236664162384,9.924121487011405,-0.6643731570011627,1.0,0.9183673469387755,0.0,0.08163265306122448,0.0
BTCUSD,4H,long,all,high_vol,38,1.6532996919446277,0.20302496307939563,0.3874101357929922,0.7222556159766955,7.023310158031443,-0.4293640453606514,1.0,0.8947368421052632,0.0,0.07894736842105263,0.02631578947368421
BTCUSD,4H,long,all,medium_vol,60,-0.009862776979008508,-0.0024104094223134256,0.38723593165823966,1.2338605198837704,7.024151174525707,-0.540940731331307,1.0,0.9333333333333333,0.0,0.06666666666666667,0.0
BTCUSD,4H,long,all,low_vol,55,3.076082818445282,0.2677401807358072,0.4728705668384365,1.597191588467171,17.217087140887152,-0.7447556545177554,1.0,0.8909090909090909,0.0,0.10909090909090909,0.0
BTCUSD,4H,short,all,high_vol,44,-0.14600188765034902,-0.07034009255735564,0.3647612990266471,0.6578784813376106,1.720331542621972,-0.592939731744145,1.0,0.9772727272727273,0.0,0.022727272727272728,0.0
BTCUSD,4H,short,all,medium_vol,49,0.5330195807531364,0.12786408116369047,0.4521497919556219,0.9297610427226602,5.703685145886645,-0.5566218809980801,1.0,0.9183673469387755,0.0,0.08163265306122448,0.0
BTCUSD,4H,short,all,low_vol,34,3.0971643862761695,0.15223696692363892,0.619983153730593,1.9940356409362758,9.168306336347436,-0.7201395377362836,1.0,0.9411764705882353,0.0,0.058823529411764705,0.0
