symbol,timeframe,leg,trend_regime,vol_regime,n_trades,mean_final_R_gross,sharpe_R_gross,median_MFE_R,p75_MFE_R,p90_MFE_R,median_MAE_R,median_t_MFE,pct_stop,pct_tp_hit,pct_hmax,pct_end_of_data
ETHUSD,1D,all,all,all,107,1.2078255637160085,0.13595011450710903,0.4379179593243706,1.3137643549295914,7.007006144419341,-0.5364626990779536,1.0,0.9065420560747663,0.0,0.08411214953271028,0.009345794392523364
ETHUSD,1D,long,all,all,52,2.6480509175894658,0.21531958372909288,0.40906058335135015,1.1327560082889343,17.87334384611595,-0.590500742823189,1.0,0.9038461538461539,0.0,0.07692307692307693,0.019230769230769232
ETHUSD,1D,short,all,all,55,-0.15384204358253378,-0.05369345773802351,0.4914674493809995,1.6880997944830063,5.417842628304052,-0.5352274908811694,1.0,0.9090909090909091,0.0,0.09090909090909091,0.0
ETHUSD,1D,all,above_ma,all,53,1.5242165916238755,0.13434985745822717,0.4379179593243706,1.352863546631477,8.170019976935421,-0.5576521777738312,1.0,0.9245283018867925,0.0,0.07547169811320754,0.0
ETHUSD,1D,all,below_ma,all,54,0.897293628917546,0.1601778684619055,0.470300281496284,1.231252161352889,3.9275250356002416,-0.4817397731844693,1.0,0.8888888888888888,0.0,0.09259259259259259,0.018518518518518517
ETHUSD,1D,all,all,high_vol,38,-0.07085109286459694,-0.050537767142223626,0.4285491691974703,1.0193654643906944,2.7939859310066235,-0.5283130655309398,1.0,0.9473684210526315,0.0,0.05263157894736842,0.0
ETHUSD,1D,all,all,medium_vol,45,0.26142407798510575,0.07890446878818673,0.4177797241077324,1.5466080527525152,6.128505380260985,-0.540922583989069,1.0,0.9333333333333333,0.0,0.044444444444444446,0.022222222222222223
ETHUSD,1D,all,all,low_vol,24,5.006899722380742,0.2798528199902989,0.5566044200424123,2.4199200687034965,26.346688418142485,-0.573585054820067,1.0,0.7916666666666666,0.0,0.20833333333333334,0.0
ETHUSD,1D,long,above_ma,all,20,4.318838405370532,0.23602133356715713,0.41941390963187075,1.4891443693708175,19.79607915087592,-0.6707123622367968,1.0,0.9,0.0,0.1,0.0
ETHUSD,1D,long,below_ma,all,32,1.6038087377263,0.2514661728403711,0.319313795716026,0.8910805296581696,3.198538248109575,-0.37946400887850595,1.0,0.90625,0.0,0.0625,0.03125
ETHUSD,1D,short,above_ma,all,33,-0.16949359852561344,-0.10700613911574798,0.4406196213425134,1.352863546631477,6.770822494299787,-0.5364626990779536,1.0,0.9393939393939394,0.0,0.06060606060606061,0.0
ETHUSD,1D,short,below_ma,all,22,-0.13036471116791432,-0.0313558062700469,0.6798349526909975,1.821190304143411,3.9768789253377888,-0.5086838890302047,1.0,0.8636363636363636,0.0,0.13636363636363635,0.0
ETHUSD,1D,long,all,high_vol,19,-0.44719653313375324,-0.8636558826677748,0.2814751495909155,0.8007257394639327,1.2862226058131494,-0.6588682382281339,1.0,1.0,0.0,0.0,0.0
ETHUSD,1D,long,all,medium_vol,23,0.9281352717902962,0.20976693538941224,0.4210480951560091,1.0047209705674178,15.961900505601076,-0.4068264092397861,1.0,0.9130434782608695,0.0,0.043478260869565216,0.043478260869565216
ETHUSD,1D,long,all,low_vol,10,12.484827059301676,0.4811210842979986,0.5480105781272957,24.28174574433466,59.100137851817045,-0.5583205498442758,1.0,0.7,0.0,0.3,0.0
ETHUSD,1D,short,all,high_vol,19,0.3054943474045593,0.16392801186856326,0.521420183921998,1.7540796482236098,4.580177676858145,-0.4775687409551385,1.0,0.8947368421052632,0.0,0.10526315789473684,0.0
ETHUSD,1D,short,all,medium_vol,22,-0.435592170083957,-0.3563129277916993,0.3177493890401254,1.758845665348252,4.00703555309482,-0.5590527891388046,1.0,0.9545454545454546,0.0,0.045454545454545456,0.0
ETHUSD,1D,short,all,low_vol,14,-0.33447694684849516,-0.06509810380646036,0.5566044200424123,0.9122629460356089,6.954177308367329,-0.573585054820067,1.0,0.8571428571428571,0.0,0.14285714285714285,0.0
