horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,73058,0.00011968453971010458,0.004097090315540283,7.895804848333487,3.5985670459849025e-05,7.733318229298478
2,low_ofi,73058,-2.9580145576527e-05,0.0041969789080205265,-1.9050106583499335,,
5,high_ofi,73058,0.00013261896839883682,0.0064640442690625,5.545429811591687,2.28408884796709e-05,3.0959744131610325
5,low_ofi,73057,5.041883382377823e-05,0.006657668013814364,2.0469233415202086,,
10,high_ofi,73058,0.00020936067448042538,0.009126221881618587,6.20066080691719,1.6604076604703337e-05,1.606092152970904
10,low_ofi,73057,0.00013137542761046704,0.009282611622323063,3.8253826127468313,,
