horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,77222,8.567958340289944e-05,0.0034860915965689654,6.829817120795372,2.553610743109674e-05,6.775071852221379
2,low_ofi,77222,-2.8439315939277757e-05,0.0035173964988961565,-2.246820313458257,,
5,high_ofi,77222,7.955595491393798e-05,0.005309626185642968,4.163698453653911,1.260544234237133e-05,2.131841489788499
5,low_ofi,77222,-2.432127654927682e-06,0.005430765025966766,-0.12445027946222932,,
10,high_ofi,77222,0.000143707969450676,0.0074902530846609975,5.3315671515057845,2.2625831867433516e-05,2.7321621681809742
10,low_ofi,77222,3.162469614461195e-05,0.007556282888511565,1.1630239967743365,,
