horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,3229,0.00024531843867398577,0.01463175395415599,0.9527255780606567,0.00011234317259751766,1.341950203536269
2,low_ofi,3229,1.3273441503878392e-05,0.01644128514832829,0.04587560462686944,,
5,high_ofi,3229,0.001113732254726588,0.023375651620339277,2.707391703965039,0.0003430731632789676,2.6381095969014314
5,low_ofi,3229,1.2529564828859899e-05,0.023663889076720405,0.030087346605478023,,
10,high_ofi,3228,0.0032242186998577113,0.03271097171072172,5.600126148658079,0.0008390902700424523,4.495376584631834
10,low_ofi,3229,-0.00042009996876350215,0.03341977779507359,-0.71430405205985,,
