horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,6436,0.00019959409983737224,0.011093212651783275,1.4434388113035774,4.367556210283865e-05,1.0156525717288438
2,low_ofi,6436,6.620532394307436e-05,0.011628140423367026,0.4567627351309749,,
5,high_ofi,6436,0.0006012270645967104,0.016758216864697043,2.8781851880692964,0.0001569180179358977,2.368137034968593
5,low_ofi,6436,0.00015058542791075033,0.017396213784044084,0.6944423994481749,,
10,high_ofi,6436,0.0017803924144733922,0.023056157652860454,6.1949359408951645,0.0003488670027279987,3.7573603178266173
10,low_ofi,6436,0.00029646917823816094,0.023371621175412506,1.0176506842999347,,
