horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,25768,0.00012930145672358654,0.006006491347083218,3.455595643802216,5.090852971774828e-06,0.46344556461719644
2,low_ofi,25768,5.300660609780733e-05,0.006210755591675479,1.3700168701489375,,
5,high_ofi,25768,0.0002766461066125127,0.009052267964531416,4.905773772227719,3.109454246000807e-05,1.815323978503823
5,low_ofi,25768,2.9213562819877752e-05,0.009440625483508908,0.49673425766296064,,
10,high_ofi,25768,0.00043561316911862015,0.01227926886259329,5.694673744462838,5.8963284782848024e-05,2.490049817143705
10,low_ofi,25768,9.434004715314494e-05,0.01290113789229093,1.1738387112434654,,
