horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,1528,0.000808656421428875,0.022239951991714215,1.4213200132434283,-1.4499806675919132e-08,-7.574495608632755e-05
2,low_ofi,1527,0.0006992852225599778,0.026725874595957745,1.022449679189211,,
5,high_ofi,1528,0.0031675055439615513,0.035480271008569986,3.489732454169154,0.0004471709338623993,1.4543139563857255
5,low_ofi,1526,0.0006845114335249095,0.04261074384417241,0.6275363073108263,,
10,high_ofi,1528,0.006766945584627793,0.04963228189332112,5.329544815968066,0.0012413777630003626,2.8787568705037105
10,low_ofi,1523,0.0020265767533016736,0.05762243715317145,1.3725285448136983,,
