horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,812,0.0033907567350468667,0.027676276135477795,3.4911378102780084,0.0009681094436940674,3.1256276569896984
2,low_ofi,812,-0.0007693725458811901,0.030633301289344272,-0.7156833228600501,,
5,high_ofi,812,0.007597155338897499,0.043815067010653214,4.940894046444489,0.0014171790262101493,2.8654987590915284
5,low_ofi,812,0.0012442607604446548,0.0420151197530869,0.843886062375098,,
10,high_ofi,812,0.01541400856632785,0.06397250641546033,6.865943797547619,0.001726564348635333,2.432651856983536
10,low_ofi,812,0.007991152085126869,0.06519514769817795,3.4927872833473246,,
