horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,6087,0.00010245718710012733,0.012346408284886791,0.6474458398792056,-8.493897097018738e-05,-1.6013731539873173
2,low_ofi,6086,0.00035580363905097514,0.014169083577487786,1.9590007289089204,,
5,high_ofi,6087,-4.2643226469750395e-05,0.01888069771021133,-0.1762112648952125,-0.00020201739942651576,-2.46492712257762
5,low_ofi,6086,0.0009374688920466612,0.021765052829058985,3.3601844203367475,,
10,high_ofi,6087,0.0001126389579609951,0.026595651305698895,0.33043013261040005,-0.00026165684250317663,-2.2771135356389594
10,low_ofi,6086,0.0015780678122879704,0.030863652195579367,3.988818904338707,,
