symbol,period,horizon,high_ofi_ret,low_ofi_ret,spread,high_ofi_tstat,low_ofi_tstat,high_ofi_N,low_ofi_N
ETHUSD,15min,5,0.0002057901936578,0.0003247031814489,-0.00011891298779109999,2.996848434646361,4.45187572943652,24378,24378
ETHUSD,30min,5,0.000208783959978,0.000339952263038,-0.00013116830306,1.593120212312312,2.40198565138319,12185,12184
ETHUSD,15min,10,0.0002155585035224,0.0004269311865436,-0.0002113726830212,2.2224899634483632,4.23661941396646,24378,24377
ETHUSD,1H,2,0.0001024571871001,0.0003558036390509,-0.0002533464519508,0.6474458398792056,1.9590007289089204,6087,6086
ETHUSD,30min,10,6.971027040229517e-05,0.0005850952259494,-0.0005153849555471049,0.3928380158987025,2.9256884617108927,12185,12184
ETHUSD,2H,2,-2.016132612438644e-05,0.0008312328802616,-0.0008513942063859865,-0.0703707964021765,2.311160407463603,3050,3049
ETHUSD,2H,5,0.0002368459622262,0.0011253249136303,-0.0008884789514040999,0.5021045382534547,2.011333023904779,3050,3049
ETHUSD,1H,5,-4.26432264697504e-05,0.0009374688920466,-0.0009801121185163504,-0.1762112648952125,3.3601844203367475,6087,6086
BTCUSD,1D,2,0.0037042578516604,0.0051010214363054,-0.0013967635846449996,1.4576136252648622,1.685583018205706,270,270
ETHUSD,1H,10,0.0001126389579609,0.0015780678122879,-0.001465428854327,0.3304301326104,3.988818904338707,6087,6086
BTCUSD,1D,10,0.0133840065292309,0.0282773741764527,-0.0148933676472218,2.1309362526619977,3.635487116283822,269,270
