symbol,bar_size,horizon,high_ofi_mean,high_ofi_t_stat,low_ofi_mean,low_ofi_t_stat,spread,ols_beta,ols_t_stat
BTCUSD,4H,2,0.0007431434814934,1.5990671832933907,1.6657069834380126e-06,0.0031782795877569,0.000741477774509962,0.000313870225961,1.9397551496851788
BTCUSD,4H,5,0.0025679686468483,3.377546929350142,-0.0003796420679366,-0.4434709422667473,0.0029476107147849,0.000827188348598,3.1970050090124285
BTCUSD,4H,10,0.0055613941752618,4.991060556632058,0.0014203966815984,1.20002830516474,0.0041409974936634,0.0009798920885728,2.7264139652995465
BTCUSD,1D,2,0.0061557509049054,2.104109751045704,0.0035253042232073,1.1882468267103037,0.0026304466816981006,0.0002003058530117,0.2188257992474572
BTCUSD,1D,5,0.0089367058259391,2.1813479628614765,0.0084776688342285,1.6349398533898405,0.00045903699171060026,-0.0024838564557533,-1.6837239778795046
BTCUSD,1D,10,0.0139198148679937,2.395333617963073,0.0265469292984331,3.263237408361177,-0.012627114430439401,-0.0066729107203438,-3.091535242429356
BTCUSD,1H,2,0.0002854308197077,2.062646093727935,-0.0001761779827444,-1.1630431954145335,0.00046160880245209996,0.0001372572253124,3.242228810147467
BTCUSD,1H,5,0.0005863781618589,2.8746641193970954,-0.0002266976560052,-1.002576589304687,0.0008130758178641,0.0002787325515005,4.257086082627615
BTCUSD,1H,10,0.001450163615951,5.305740093400339,-0.0001918079766712,-0.6481905289896056,0.0016419715926222001,0.0004341057915953,4.7566670603651575
BTCUSD,2H,2,7.902239993380175e-05,0.3223196116008991,-0.0004924205135455,-1.6056798868570474,0.0005714429134793018,0.0002429612115938,2.914105225610081
BTCUSD,2H,5,0.0007742816126881,2.057839781359874,-0.0005578786531695,-1.3041804593800617,0.0013321602658576,0.0004477355996529,3.476176176737129
BTCUSD,2H,10,0.0022928934453779,4.146900723635429,-0.0010637914322038,-1.7432697112595252,0.0033566848775817004,0.0009701612364332,5.273934762888575
BTCUSD,4H,2,0.0007431434814934,1.5990671832933936,1.6657069834396806e-06,0.0031782795877601,0.0007414777745099603,0.000313870225961,1.9397551496851813
BTCUSD,4H,5,0.0025679686468483,3.3775469293501432,-0.0003796420679366,-0.4434709422667457,0.0029476107147849,0.000827188348598,3.197005009012428
BTCUSD,4H,10,0.0055613941752618,4.99106055663206,0.0014203966815984,1.2000283051647385,0.0041409974936634,0.0009798920885728,2.7264139652995496
BTCUSD,8H,2,0.0021964769589417,2.2583534626681008,0.0001712760978085,0.1660497668938413,0.0020252008611332,0.0005395439585457,1.7465034174172474
BTCUSD,8H,5,0.005393498302361,3.5302747745205427,0.0013682761071848,0.9268798392273484,0.0040252221951762,0.0009530128493065,1.9740010676392288
BTCUSD,8H,10,0.0113336375976653,5.56334769523653,0.0093236955956465,4.0280003724246844,0.002009942002018799,0.0009910882345151,1.438099196985186
ETHUSD,1D,2,0.0128876178705473,3.537695066044364,0.0041076634929471,0.9344233749375196,0.0087799543776002,0.0016172820031134,1.4483189460875308
ETHUSD,1D,5,0.0282989394251413,3.8595892350294654,0.0040393920243932,0.6187553716851104,0.0242595474007481,0.0024278350730767,1.34233391343161
ETHUSD,1D,10,0.0648299622906174,5.6150569525846015,0.010285208799935,1.0000598410741484,0.0545447534906824,0.0065865111723795,2.5305784382188663
ETHUSD,1H,2,9.39998068858588e-05,0.5679377010950151,0.0003460378477304,1.9076205285174663,-0.0002520380408445412,-5.23875106091733e-05,-0.9732091840470168
ETHUSD,1H,5,0.0001361732924107,0.5265795505303645,0.0010736722246857,3.705678572562821,-0.0009374989322750001,-0.0001630719854421,-1.9574889501577488
ETHUSD,1H,10,0.000153707926276,0.4149122701920044,0.0016533805554469,4.039219331338269,-0.0014996726291709,-0.0002895541154414,-2.4729722771263374
ETHUSD,2H,2,-4.543290216835376e-07,-0.0014375113054007,0.0010504715223307,2.8374077449449584,-0.0010509258513523836,-0.0001286808433673,-1.2485186768445715
ETHUSD,2H,5,4.729051261069061e-05,0.0897161445367688,0.0016626999223569,2.908977537788393,-0.0016154094097462093,-0.0002234465705378,-1.38784375131607
ETHUSD,2H,10,0.0009244760173819,1.211932760603057,0.0024464839146428,3.0708477110592387,-0.0015220078972609,-0.0001204816476107,-0.5213487626798882
ETHUSD,4H,2,0.0004665011486645,0.7226179847980879,0.0010995356004396,1.5186848486292464,-0.0006330344517751,-0.0001034639604787,-0.5184386773964322
ETHUSD,4H,5,0.0019687704381022,1.96911925811165,0.0011667102762537,1.0325135828783951,0.0008020601618484997,8.465271562929419e-05,0.2639668973840742
ETHUSD,4H,10,0.0054179363895902,4.008743171450152,0.0023451357051232,1.5231959138143676,0.003072800684467,0.000836449750539,1.871777327461927
ETHUSD,8H,2,0.0030239344925759,2.6206220814556342,0.0034470661307403,2.6363660875632835,-0.0004231316381644,0.0003453175503799,0.9037006790608708
ETHUSD,8H,5,0.0091212800283284,5.338569364643311,0.0052706243675641,2.580080622455683,0.0038506556607642997,0.0014050982461535,2.347456500571357
ETHUSD,8H,10,0.0157769848611932,5.601405937999324,0.0109792969760962,3.90888025083749,0.004797687885097001,0.0016935406704642,1.9407133163653203
EURUSD,1D,2,-9.568438516382357e-05,-0.2385687640317964,0.0002451125607754,0.5233261042880284,-0.0003407969459392235,-0.0002107498783044,-1.3729798386455467
EURUSD,1D,5,0.0005911393958109,0.9155942523133316,0.0004449258821705,0.5944364879199905,0.00014621351364039998,-0.0004275510163803,-1.7961750368918423
