horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,270,0.003704257851660481,0.041758094511528725,1.4576136252648622,-4.487276454505284e-05,-0.05302747528212782
2,low_ofi,270,0.005101021436305491,0.0497266134649848,1.685583018205706,,
5,high_ofi,269,0.009876389090790345,0.06099311853377195,2.6557885366761638,-0.0011677719214066742,-0.8540997371050403
5,low_ofi,270,0.009779155923777273,0.08558992500476002,1.8774163988980705,,
10,high_ofi,269,0.013384006529230904,0.10301294942893725,2.1309362526619977,-0.00437785785039778,-2.198326128213368
10,low_ofi,270,0.028277374176452773,0.12780809180219987,3.635487116283822,,
