symbol,batch,bar_size,num_ticks,num_bars,file
XAUUSD,2019,1D,36813971,312,XAUUSD_1D_2019_bars_with_ofi.csv
XAUUSD,2020,5min,55580261,70830,XAUUSD_5min_2020_bars_with_ofi.csv
XAUUSD,2020,15min,55580261,23610,XAUUSD_15min_2020_bars_with_ofi.csv
XAUUSD,2020,30min,55580261,11806,XAUUSD_30min_2020_bars_with_ofi.csv
XAUUSD,2020,1H,55580261,5903,XAUUSD_1H_2020_bars_with_ofi.csv
XAUUSD,2020,2H,55580261,3090,XAUUSD_2H_2020_bars_with_ofi.csv
XAUUSD,2020,4H,55580261,1604,XAUUSD_4H_2020_bars_with_ofi.csv
XAUUSD,2020,8H,55580261,830,XAUUSD_8H_2020_bars_with_ofi.csv
XAUUSD,2020,1D,55580261,312,XAUUSD_1D_2020_bars_with_ofi.csv
XAUUSD,2021,5min,53090464,70866,XAUUSD_5min_2021_bars_with_ofi.csv
XAUUSD,2021,15min,53090464,23622,XAUUSD_15min_2021_bars_with_ofi.csv
XAUUSD,2021,30min,53090464,11812,XAUUSD_30min_2021_bars_with_ofi.csv
XAUUSD,2021,1H,53090464,5906,XAUUSD_1H_2021_bars_with_ofi.csv
XAUUSD,2021,2H,53090464,3083,XAUUSD_2H_2021_bars_with_ofi.csv
XAUUSD,2021,4H,53090464,1599,XAUUSD_4H_2021_bars_with_ofi.csv
XAUUSD,2021,8H,53090464,826,XAUUSD_8H_2021_bars_with_ofi.csv
XAUUSD,2021,1D,53090464,310,XAUUSD_1D_2021_bars_with_ofi.csv
XAUUSD,2022,5min,53790722,70880,XAUUSD_5min_2022_bars_with_ofi.csv
XAUUSD,2022,15min,53790722,23627,XAUUSD_15min_2022_bars_with_ofi.csv
XAUUSD,2022,30min,53790722,11814,XAUUSD_30min_2022_bars_with_ofi.csv
XAUUSD,2022,1H,53790722,5910,XAUUSD_1H_2022_bars_with_ofi.csv
XAUUSD,2022,2H,53790722,3087,XAUUSD_2H_2022_bars_with_ofi.csv
XAUUSD,2022,4H,53790722,1599,XAUUSD_4H_2022_bars_with_ofi.csv
XAUUSD,2022,8H,53790722,826,XAUUSD_8H_2022_bars_with_ofi.csv
XAUUSD,2022,1D,53790722,310,XAUUSD_1D_2022_bars_with_ofi.csv
XAUUSD,2023,5min,36373161,70577,XAUUSD_5min_2023_bars_with_ofi.csv
XAUUSD,2023,15min,36373161,23528,XAUUSD_15min_2023_bars_with_ofi.csv
XAUUSD,2023,30min,36373161,11765,XAUUSD_30min_2023_bars_with_ofi.csv
XAUUSD,2023,1H,36373161,5886,XAUUSD_1H_2023_bars_with_ofi.csv
XAUUSD,2023,2H,36373161,3074,XAUUSD_2H_2023_bars_with_ofi.csv
XAUUSD,2023,4H,36373161,1593,XAUUSD_4H_2023_bars_with_ofi.csv
XAUUSD,2023,8H,36373161,823,XAUUSD_8H_2023_bars_with_ofi.csv
XAUUSD,2023,1D,36373161,309,XAUUSD_1D_2023_bars_with_ofi.csv
XAUUSD,2024,5min,56217145,71193,XAUUSD_5min_2024_bars_with_ofi.csv
XAUUSD,2024,15min,56217145,23733,XAUUSD_15min_2024_bars_with_ofi.csv
XAUUSD,2024,30min,56217145,11868,XAUUSD_30min_2024_bars_with_ofi.csv
XAUUSD,2024,1H,56217145,5938,XAUUSD_1H_2024_bars_with_ofi.csv
XAUUSD,2024,2H,56217145,3099,XAUUSD_2H_2024_bars_with_ofi.csv
XAUUSD,2024,4H,56217145,1606,XAUUSD_4H_2024_bars_with_ofi.csv
XAUUSD,2024,8H,56217145,831,XAUUSD_8H_2024_bars_with_ofi.csv
XAUUSD,2024,1D,56217145,313,XAUUSD_1D_2024_bars_with_ofi.csv
XAUUSD,2025,5min,49501570,54710,XAUUSD_5min_2025_bars_with_ofi.csv
XAUUSD,2025,15min,49501570,18238,XAUUSD_15min_2025_bars_with_ofi.csv
XAUUSD,2025,30min,49501570,9119,XAUUSD_30min_2025_bars_with_ofi.csv
XAUUSD,2025,1H,49501570,4562,XAUUSD_1H_2025_bars_with_ofi.csv
XAUUSD,2025,2H,49501570,2385,XAUUSD_2H_2025_bars_with_ofi.csv
XAUUSD,2025,4H,49501570,1237,XAUUSD_4H_2025_bars_with_ofi.csv
XAUUSD,2025,8H,49501570,640,XAUUSD_8H_2025_bars_with_ofi.csv
XAUUSD,2025,1D,49501570,241,XAUUSD_1D_2025_bars_with_ofi.csv
