n_trades,n_long,n_short,mean_r,median_r,std_r,min_r,max_r,win_rate,avg_win_r,avg_loss_r,mean_mfe_r,median_mfe_r,mean_mae_r,median_mae_r,mean_bars_held,median_bars_held,mean_t_mfe,median_t_mfe,pct_stop,pct_hmax,pct_end_of_data,expectancy_r,sharpe_r,symbol,timeframe,data_bars,date_start,date_end
15510,7698,7812,0.37042861430281454,-0.34076145555621806,7.8899814249535005,-117.31958762886647,352.38605898124746,0.05209542230818827,19.565175875745872,-0.6844860767083397,2.8607603856811297,0.537187905654326,-1.0428091079562094,-0.6058924862066707,16.347259832366216,2.0,8.946872985170858,1.0,0.9435203094777563,0.056415215989684075,6.447453255963895e-05,0.37042861430281454,0.04694923781838912,BTCUSD,5min,278628,2017-05-07 23:55:00+00:00,2020-12-31 21:55:00+00:00
5350,2644,2706,0.40711541465434237,-0.325918518767568,7.234494450944767,-51.41629584164468,225.05161734343133,0.05439252336448598,18.652666453381062,-0.6423914745074436,2.6257022345397427,0.49125706899050847,-0.9692105984545992,-0.5887910673262033,15.645794392523365,2.0,9.06766355140187,1.0,0.942429906542056,0.05738317757009346,0.00018691588785046728,0.40711541465434237,0.05627420373529713,BTCUSD,15min,92920,2017-05-07 23:45:00+00:00,2020-12-31 21:45:00+00:00
2740,1352,1388,0.3352455526486255,-0.3014190314534755,6.061976551054,-82.36412724498173,122.17405164169587,0.05218978102189781,17.97984789734444,-0.6363286234358956,2.44914907505346,0.467577175165518,-0.977162537962224,-0.5717195143703835,15.141605839416059,2.0,8.516788321167883,1.0,0.9448905109489051,0.05474452554744526,0.000364963503649635,0.3352455526486255,0.05530301046617148,BTCUSD,30min,46473,2017-05-07 23:30:00+00:00,2020-12-31 21:30:00+00:00
1369,692,677,0.5849516780616989,-0.3024363815988581,6.860649700324564,-20.5728303387921,122.33687405159439,0.0547845142439737,20.145309649438463,-0.5487630420721937,2.614258761770279,0.47029510239040334,-0.8760471407368956,-0.5722670579603216,14.968590211833455,1.0,9.076698319941563,1.0,0.9430241051862673,0.056245434623813005,0.0007304601899196494,0.5849516780616989,0.08526184889370259,BTCUSD,1H,23246,2017-05-07 23:00:00+00:00,2020-12-31 21:00:00+00:00
606,268,338,0.8263071852832174,-0.28952552811165305,7.887168621651144,-16.49200710479579,121.58492279745728,0.0627062706270627,21.566802460965334,-0.5612611606250931,2.780837688268599,0.4043887112327985,-0.987617092356205,-0.6201184204201178,16.818481848184817,1.0,10.957095709570957,1.0,0.933993399339934,0.06435643564356436,0.0016501650165016502,0.8263071852832174,0.10476600982194212,BTCUSD,2H,11786,2017-05-07 22:00:00+00:00,2020-12-31 20:00:00+00:00
280,153,127,1.2729130079404425,-0.2757153490517129,9.60861404890639,-14.209676579344846,118.05831265508822,0.06785714285714285,27.264001553866976,-0.6191585720312204,3.3074220494478226,0.4238706252316109,-1.0046981692210784,-0.5615677733286297,18.082142857142856,2.0,10.975,1.0,0.925,0.07142857142857142,0.0035714285714285713,1.2729130079404425,0.13247623449766097,BTCUSD,4H,6027,2017-05-07 20:00:00+00:00,2020-12-31 20:00:00+00:00
138,57,81,1.5033791120497193,-0.25958098166300164,10.619268794154932,-4.4292828685258945,97.61255115961806,0.06521739130434782,30.18591476394928,-0.4977280264549013,4.103013370875283,0.4332176282261919,-0.8268000891154035,-0.5227696536783798,17.920289855072465,1.0,10.492753623188406,1.0,0.9347826086956522,0.057971014492753624,0.007246376811594203,1.5033791120497193,0.1415708690674833,BTCUSD,8H,3117,2017-05-07 16:00:00+00:00,2020-12-31 16:00:00+00:00
49,22,27,0.7249895839302273,-0.2531081318994149,5.8049254361084035,-1.6611636303503021,37.469386140180795,0.061224489795918366,18.737384445598938,-0.4497318200916452,2.3445058716203024,0.5438457785926984,-0.7875294123335701,-0.6449442360421872,13.510204081632653,2.0,9.53061224489796,1.0,0.9387755102040817,0.061224489795918366,0.0,0.7249895839302273,0.12489214407829795,BTCUSD,1D,1157,2017-05-07 00:00:00+00:00,2020-12-31 00:00:00+00:00
38538,19049,19489,0.1348219163546321,-0.3076923076922463,5.163620681564251,-319.4444444444386,116.88473520249246,0.052312003736571695,14.070773103809639,-0.6344370944856641,2.3718121897324176,0.5761059187622413,-1.0815214421080472,-0.6138723135736044,17.182936322590688,2.0,9.479189371529399,1.0,0.9397737298251077,0.060200321760340444,2.594841455187088e-05,0.1348219163546321,0.026109957463759628,ETHUSD,5min,730772,2017-12-11 23:50:00+00:00,2025-10-08 19:55:00+00:00
13220,6453,6767,0.15178811794324248,-0.3112521789564824,4.527893560266853,-67.6923076923089,82.9473684210521,0.05453857791225416,13.264466931763172,-0.6046117080239684,2.2203988227511413,0.5468869347693277,-1.0103627492383516,-0.6028826649070196,16.52534039334342,2.0,9.204387291981845,1.0,0.9392586989409984,0.06066565809379728,7.5642965204236e-05,0.15178811794324248,0.03352289887624849,ETHUSD,15min,243977,2017-12-11 23:45:00+00:00,2025-10-08 19:45:00+00:00
7066,3421,3645,0.16035170059942444,-0.2975637117488602,4.558022380286033,-59.710843373494,107.72727272727595,0.049957543164449475,13.925697335287342,-0.5634926326412779,2.120725467018041,0.5194434560872931,-0.937348757539775,-0.5928601487462202,15.26026040192471,2.0,8.55349561279366,1.0,0.9465043872063402,0.05335409000849137,0.0001415227851684121,0.16035170059942444,0.035180103830328664,ETHUSD,30min,122045,2017-12-11 23:30:00+00:00,2025-10-08 19:30:00+00:00
