file,rows,start_date,end_date,days,ofi_z_mean,ofi_z_std,ofi_z_min,ofi_z_max,fut_ret_2_mean,fut_ret_2_std,fut_ret_2_sharpe,fut_ret_5_mean,fut_ret_5_std,fut_ret_5_sharpe,fut_ret_10_mean,fut_ret_10_std,fut_ret_10_sharpe,corr_ofi_ret_2,corr_ofi_ret_5,corr_ofi_ret_10,q5_minus_q1,q5_return,q1_return,symbol,timeframe
ETHUSD_15min_merged_bars_with_ofi.csv,243977,2017-12-11 23:45:00+00:00,2025-10-08 19:45:00+00:00,2857,0.0051440230438839106,1.0536581535227205,-10.3597116904665,10.578511150872131,4.359781489086701e-05,0.007157511881241526,0.09669475467532541,0.00010760670091191094,0.011188495681424436,0.15267498587304867,0.00021069436898560809,0.015506058324027995,0.21570081499582244,-0.001379796790459142,-0.0032412807976172063,-0.003960990147517882,-0.00022829216658176572,0.0001615383307547168,0.0003898304973364825,ETHUSD,15min
ETHUSD_1D_merged_bars_with_ofi.csv,2711,2017-12-11 00:00:00+00:00,2025-10-08 00:00:00+00:00,2858,0.03421223843630907,1.2022177196114943,-10.095888238374071,11.151534459117856,0.0036387637579752387,0.06457657322441164,0.8944975091689703,0.00920390731647388,0.10537062084705724,1.3866056584115396,0.018498682475662026,0.15498105710589544,1.8947959573991806,0.03531197147164741,0.054360430907393745,0.08037439518512018,0.0408531027733397,0.049404649999090895,0.008551547225751197,ETHUSD,1D
ETHUSD_1H_merged_bars_with_ofi.csv,61069,2017-12-11 23:00:00+00:00,2025-10-08 19:00:00+00:00,2857,0.005946795763344434,1.0574411614153176,-8.441549515631893,10.596759100269267,0.00016897767856909456,0.013926479166802598,0.1926141888097092,0.00041008840909417327,0.021514357430197993,0.3025863866583487,0.000811935356396304,0.030206153038912966,0.42670359861803653,-0.00649106778234197,-0.009991034499556526,-0.009230372070893646,-0.0015040390773473475,4.0477256755981946e-05,0.0015445163341033293,ETHUSD,1H
ETHUSD_2H_merged_bars_with_ofi.csv,30698,2017-12-11 22:00:00+00:00,2025-10-08 18:00:00+00:00,2857,0.015111553042778144,1.0825686732007906,-8.805761945856677,11.472404640491169,0.000329028971537784,0.019242064105874052,0.2714455667649226,0.0008071492123650451,0.03010156934835685,0.425662076709527,0.0016272730756263724,0.04307748456003969,0.5996673088881889,-0.006212161432976818,-0.004317050671269018,0.00678000724558351,0.0005540679088518973,0.0017801497307004296,0.0012260818218485323,ETHUSD,2H
ETHUSD_30min_merged_bars_with_ofi.csv,122045,2017-12-11 23:30:00+00:00,2025-10-08 19:30:00+00:00,2857,0.007220037100148909,1.0629219383295552,-7.609638671902593,11.129829477971162,8.597363137373789e-05,0.009995785732043823,0.1365364488725639,0.00021005787303165452,0.015467950405698856,0.21557900499920674,0.00041075279684458377,0.021529465428004442,0.3028639297364297,-0.004586365176788049,-0.0065867247292385,-0.008767024429637758,-0.0004248958337205529,0.00017036296238837732,0.0005952587961089302,ETHUSD,30min
ETHUSD_4H_merged_bars_with_ofi.csv,15470,2017-12-11 20:00:00+00:00,2025-10-08 16:00:00+00:00,2857,0.03099427841321475,1.1038519897295416,-8.665171860082753,11.413675520920872,0.0006404306186874701,0.02683109908614192,0.3789081044197934,0.0016116209746716464,0.04289233734677096,0.5964629447265647,0.0031600803017723333,0.060334928581518364,0.831437457344858,-7.322744659577713e-07,0.011771282281766294,0.023299576014425616,0.0033675082178311307,0.0051184303215148904,0.00175092210368376,ETHUSD,4H
ETHUSD_5min_merged_bars_with_ofi.csv,730772,2017-12-11 23:50:00+00:00,2025-10-08 19:55:00+00:00,2857,0.0024774999612487635,1.0338784984473663,-11.959160856449971,11.397462218252258,1.4474119141283005e-05,0.004115490067439033,0.05583041494504382,3.628352829367968e-05,0.00652518569928243,0.0882707683524859,7.19533629877965e-05,0.009144563875896683,0.12490745783661679,0.009047359596493413,0.003622201842865259,0.001879042277811541,5.8074697506239046e-05,0.00014523836913039572,8.716367162415667e-05,ETHUSD,5min
ETHUSD_8H_merged_bars_with_ofi.csv,7826,2017-12-11 16:00:00+00:00,2025-10-08 16:00:00+00:00,2858,0.03120261093045087,1.1261537271980178,-9.179694925036204,9.304272788001226,0.001273585163296078,0.037827699929543754,0.5344638381639478,0.0031066644836350373,0.05972798988172549,0.8256894277096752,0.006283229801776844,0.08660828083814388,1.1516587091831343,0.019359920722055553,0.03320172476249873,0.03598969310345543,0.01086067930595875,0.013078190130533296,0.002217510824574546,ETHUSD,8H
EURUSD_15min_merged_bars_with_ofi.csv,382806,2010-01-01 00:00:00+00:00,2025-10-03 20:45:00+00:00,5754,0.0003651400387982874,1.000971313880113,-10.236690034341713,10.546594719999234,-7.346648048514508e-07,0.0007824163707048042,-0.014905672555479439,-1.84283236849813e-06,0.0012316054759667222,-0.023752782446176453,-3.6947043801606857e-06,0.0017374837064056037,-0.03375664101516789,-0.004560184218423032,-0.003007701551857678,-0.00045688992943208493,-3.010784733531988e-06,-5.335155342118397e-06,-2.3243706085864088e-06,EURUSD,15min
EURUSD_1D_merged_bars_with_ofi.csv,4812,2010-01-01 00:00:00+00:00,2025-10-03 00:00:00+00:00,5754,-0.005219629289439869,1.0425738775809579,-6.640037732873725,13.597814391159172,-5.882564900989322e-05,0.0069461620451687234,-0.1344380136657494,-0.00015240746203662193,0.01079321328255571,-0.22415877382010108,-0.00031463621268721845,0.014999962523287953,-0.332980500824532,-0.014775107354206547,-0.03404214925612506,-0.026032150639965765,-0.0013620952641443425,0.00026758617205569526,0.0016296814362000377,EURUSD,1D
