horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,188,0.006155750904905495,0.040113593874240426,2.1041097510457036,0.00020030585301173768,0.21882579924745724
2,low_ofi,188,0.0035253042232073636,0.04067886835019851,1.1882468267103037,,
5,high_ofi,187,0.008936705825939188,0.05602389726380091,2.1813479628614765,-0.0024838564557533526,-1.6837239778795046
5,low_ofi,188,0.008477668834228519,0.07109737917703936,1.6349398533898403,,
10,high_ofi,187,0.01391981486799378,0.07946726252259943,2.3953336179630735,-0.006672910720343866,-3.091535242429356
10,low_ofi,188,0.02654692929843314,0.11154357173339986,3.263237408361177,,
