horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,2407,7.902239993380175e-05,0.01202822460858809,0.32231961160089917,0.00024296121159381805,2.9141052256100815
2,low_ofi,2407,-0.0004924205135455227,0.015045797574539471,-1.6056798868570474,,
5,high_ofi,2407,0.0007742816126881281,0.01845973373810188,2.057839781359874,0.00044773559965298443,3.476176176737129
5,low_ofi,2407,-0.0005578786531695472,0.020986504078078696,-1.3041804593800617,,
10,high_ofi,2406,0.00229289344537791,0.027121146571296315,4.146900723635429,0.0009701612364332908,5.273934762888575
10,low_ofi,2407,-0.0010637914322038635,0.029938493906016016,-1.7432697112595252,,
