horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,4818,0.0002854308197077111,0.00960526926381261,2.062646093727935,0.00013725722531243714,3.242228810147467
2,low_ofi,4818,-0.00017617798274444595,0.010514513575572053,-1.1630431954145335,,
5,high_ofi,4818,0.0005863781618589396,0.014158722737792694,2.8746641193970954,0.00027873255150057184,4.257086082627615
5,low_ofi,4818,-0.00022669765600523805,0.01569505594570029,-1.002576589304687,,
10,high_ofi,4818,0.0014501636159510668,0.018971620587279456,5.305740093400339,0.0004341057915953354,4.7566670603651575
10,low_ofi,4818,-0.00019180797667121092,0.020539855353760073,-0.6481905289896056,,
