horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,1798,9.91164563231917e-05,0.0023981685956260047,1.7525115893352048,1.9247137424108907e-05,1.0700764011133557
2,low_ofi,1799,-5.109586362723175e-05,0.0024218127198529,-0.8948716916598853,,
5,high_ofi,1797,0.00019510312125824224,0.0039527354357895925,2.0923797519851166,4.337627651060081e-05,1.521099405833396
5,low_ofi,1799,-5.4769349161500037e-05,0.0037754286004985653,-0.6152999790929764,,
10,high_ofi,1796,0.00026042307633813327,0.0056763618400402895,1.944296790265152,4.683134769638657e-05,1.1568215088808096
10,low_ofi,1797,-4.253723211369172e-06,0.005572689602560439,-0.03235775720546111,,
