horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,2407,-4.543290216835376e-07,0.015505909891061678,-0.0014375113054007453,-0.0001286808433673259,-1.2485186768445717
2,low_ofi,2406,0.0010504715223307946,0.01815977005707641,2.8374077449449584,,
5,high_ofi,2407,4.729051261069061e-05,0.025860770776925883,0.08971614453676884,-0.00022344657053787208,-1.38784375131607
5,low_ofi,2406,0.0016626999223569685,0.028036340138733604,2.9089775377883935,,
10,high_ofi,2407,0.0009244760173819403,0.03742442780829529,1.211932760603057,-0.0001204816476107534,-0.5213487626798882
10,low_ofi,2405,0.0024464839146428868,0.03906983935308739,3.0708477110592387,,
