horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,905,-1.764980857591537e-05,0.012992893471452924,-0.04086565003232628,-6.254646348258736e-05,-0.5638305809495906
2,low_ofi,905,8.22505213821951e-05,0.009509316870202317,0.2602037971781637,,
5,high_ofi,905,0.00016405620295704046,0.01990494581461121,0.24794533727946022,-0.00037532144385113685,-2.1361891721273447
5,low_ofi,904,0.0010013583160487318,0.01580319191484347,1.9051488366688105,,
10,high_ofi,905,0.00011713029487760726,0.02763816345059063,0.12749241429570002,-0.0007164889487030881,-2.8355396367637566
10,low_ofi,903,0.002005590993320969,0.02315575168109225,2.602719477735761,,
