horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,160,0.0012600397479138798,0.006644276235925399,2.3988138989211025,0.0002980362152107211,1.5501262862108278
2,low_ofi,161,3.3551425292015395e-05,0.007321281020435727,0.05814827490189685,,
5,high_ofi,160,0.0006927809458494763,0.01227148768837691,0.7140994683228601,0.00017355231568568183,0.5867473032770278
5,low_ofi,161,0.00013408249846381387,0.011510407700372533,0.14780676956562044,,
10,high_ofi,160,0.0021841827196750563,0.017496142903398428,1.5790891188509073,0.00011712221830934911,0.27735901956547776
10,low_ofi,158,0.0012241670248597644,0.017354626028723834,0.8866535570743851,,
