horizon,bin,N,OFI_z_min,OFI_z_max,mean_ret
2,1,375,-10.095888238374055,-0.6136774589900337,0.004186413032608722
2,2,374,-0.6124247540481235,-0.2498552077370984,0.00032866629527653974
2,3,375,-0.249611185054781,0.10481979428091112,0.0017891070658389515
2,4,374,0.10507389490095861,0.71541335349418,0.005252318750358087
2,5,375,0.7162928267419891,11.15174408307058,0.009568000161001011
5,1,374,-10.095888238374055,-0.6155006070444242,0.00773274669561638
5,2,374,-0.6136774589900337,-0.24996785715972564,0.010958165163861
5,3,374,-0.2498552077370984,0.10224339862600222,0.005169120674827817
5,4,374,0.10481979428091112,0.7162928267419891,0.006218346827013922
5,5,374,0.7170480642150321,11.15174408307058,0.024062048067553365
10,1,373,-10.095888238374055,-0.6155235731749591,0.0121961665442367
10,2,373,-0.6155006070444242,-0.25324382866758155,0.019745574558509383
10,3,373,-0.2501959843168021,0.09885443371136411,0.016703023838573743
10,4,373,0.09896750605059605,0.7162928267419891,0.011328372195362868
10,5,373,0.7170480642150321,11.15174408307058,0.048385806942220014
