horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,877,-3.77410718028313e-05,0.0024181556378704747,-0.4621998248483656,-1.7671144797175332e-05,-0.6095376070856934
2,low_ofi,877,4.536760000570394e-06,0.002697677882404795,0.049803000727948625,,
5,high_ofi,876,-3.428118931676486e-05,0.003935281768385491,-0.257829199381369,-3.992667035026716e-05,-0.8852053166839516
5,low_ofi,877,-3.9671520928407114e-05,0.004206425066486713,-0.27929649827896824,,
10,high_ofi,873,0.0002079949602729832,0.0058151259570230545,1.056819475119782,-1.924513750173733e-05,-0.29986752093280394
10,low_ofi,877,-3.7933290087502357e-05,0.006022744127896243,-0.18652021012665582,,
