horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,458,0.0010187461087010896,0.014477944576279704,1.50588494725289,-8.624349841559248e-06,-0.04242338500427873
2,low_ofi,458,1.1533238898153331e-05,0.014547422994219532,0.016966722629234425,,
5,high_ofi,458,0.0010330717603308373,0.02192778906484623,1.0082503563055867,-0.000515970655228733,-1.5975163892584772
5,low_ofi,458,0.001571952152187537,0.022027564740454166,1.5272339695868926,,
10,high_ofi,458,0.0033607113475755566,0.031249706572069692,2.301537246610364,0.00025817814987427924,0.5561978744006253
10,low_ofi,457,0.0008292491813778384,0.03131007745547376,0.5661858475840825,,
