horizon,bin,N,OFI_z_min,OFI_z_max,mean_ret
2,1,3597,-9.76593239814678,-0.7001307408904348,1.8250677021063214e-05
2,2,3596,-0.6996650665024309,-0.2073031905598496,5.219233339602396e-05
2,3,3596,-0.20728066887116717,0.18952783533651668,-6.0871133923382245e-06
2,4,3596,0.189539017165674,0.6790128961710216,5.199240843669992e-05
2,5,3597,0.679129750592734,11.138561402046193,7.54077225534473e-05
5,1,3596,-9.76593239814678,-0.7001346328767255,3.031026227632369e-05
5,2,3596,-0.7001307408904348,-0.2073031905598496,0.00015719778141183347
5,3,3595,-0.20728066887116717,0.189180672464319,-1.9380956251186004e-05
5,4,3596,0.18952783533651668,0.6790128961710216,0.00012589840543148734
5,5,3596,0.679129750592734,11.138561402046193,0.00018607214280792937
10,1,3595,-9.76593239814678,-0.6996650665024309,8.971727683905073e-05
10,2,3595,-0.6996504180823676,-0.20728066887116717,0.0002161831753590338
10,3,3594,-0.2071786704517051,0.189180672464319,0.00013881132353624282
10,4,3595,0.18952783533651668,0.6790128961710216,0.00021937583299895067
10,5,3595,0.679129750592734,11.138561402046193,0.0002998382312378544
