horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,1733,-1.5157383870154534e-05,0.0017092310234600016,-0.369166907920344,-1.9110347945342192e-06,-0.12865782468723103
2,low_ofi,1734,5.515231084361466e-05,0.0017264046183978047,1.3302879930135851,,
5,high_ofi,1732,-8.290033017321922e-05,0.002840697215675133,-1.2145216432155534,-2.0735237755547008e-05,-0.8887090156443603
5,low_ofi,1734,6.401119644493585e-05,0.003009539523960137,0.8856873464316881,,
10,high_ofi,1732,1.3900747115536718e-05,0.004189371294561941,0.13809031932387222,-3.3883638715102036e-05,-1.0413407090484683
10,low_ofi,1734,9.977685489605811e-05,0.0042816177617182845,0.9703903374897742,,
