horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,3390,-7.905807601098864e-09,0.0055624190300646754,-8.275274103211022e-05,-9.918694612034206e-06,-0.3288427781335307
2,low_ofi,3390,-2.8338775692332417e-05,0.004959718429604392,-0.3326778691653398,,
5,high_ofi,3389,0.00010910599260747337,0.009100828994630288,0.6979164504535526,-2.463284588277076e-05,-0.5202866431965308
5,low_ofi,3390,5.716284612418918e-05,0.007842905723286355,0.4243622062478402,,
10,high_ofi,3389,0.00024072081662183996,0.012140237318571521,1.154309462978838,-7.72311486248383e-05,-1.1597837253236856
10,low_ofi,3389,0.0005238250968421295,0.011319866908527671,2.6938956291196443,,
