horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,443,5.6511314747182414e-05,0.0034374153908619644,0.34602323120512785,-4.63421096599244e-05,-0.8475467521822782
2,low_ofi,444,6.896665608200817e-05,0.0035473256175430953,0.40966569597034524,,
5,high_ofi,442,0.00028026098361869453,0.005447351110995389,1.081654117380547,-5.886628783884037e-05,-0.6860674903595855
5,low_ofi,444,0.00014273740270902917,0.005862028449540966,0.513075589949276,,
10,high_ofi,441,0.00015956015459968567,0.00712681238683101,0.47016296553350706,-0.0001545498379806948,-1.2780467020303377
10,low_ofi,444,0.0005000933207987157,0.008304034599562918,1.2689759438928399,,
