horizon,bin,N,OFI_z_min,OFI_z_max,mean_ret
2,1,920,-5.4868340890407294,-0.7370857301689425,4.7395904688981894e-05
2,2,920,-0.736145082458367,-0.2390677943527371,3.970286406742984e-05
2,3,919,-0.23788389622556752,0.18402139552580163,0.00018191016078195272
2,4,920,0.185334957668827,0.7045788132923154,0.00014866349900883132
2,5,920,0.7045836753622028,10.427905150219706,0.00036223169818859106
5,1,920,-5.4868340890407294,-0.736145082458367,0.0002378669567915613
5,2,919,-0.7344368225191349,-0.2390677943527371,6.200058814775027e-05
5,3,919,-0.23788389622556752,0.18402139552580163,0.0004157776595918305
5,4,919,0.185334957668827,0.7045788132923154,0.00047858074922976307
5,5,919,0.7045836753622028,10.427905150219706,0.0007299179007018594
10,1,919,-5.4868340890407294,-0.7344368225191349,0.00030357609424810065
10,2,918,-0.7324710777650432,-0.23788389622556752,0.0001898697301796017
10,3,918,-0.23776953916631596,0.185334957668827,0.0008451961072098725
10,4,918,0.1854442708452031,0.7045788132923154,0.0010905059328595425
10,5,918,0.7045836753622028,10.427905150219706,0.0013417925439580527
