horizon,group,N,mean_ret,std_ret,t_stat,ols_beta,ols_t_stat
2,high_ofi,1763,4.874453244808063e-05,0.008447266080899778,0.24229022371273157,9.727573738314977e-06,0.16958346444112796
2,low_ofi,1763,-9.826234491186906e-05,0.006599982260816502,-0.6251302454461678,,
5,high_ofi,1762,0.00026434892287086563,0.012846516821054976,0.8637640154243842,-0.00011077758031622185,-1.2242174598879305
5,low_ofi,1762,0.0005040392693492781,0.010772317555979875,1.9640754985341997,,
10,high_ofi,1762,-0.00021154880774484601,0.019328207570475587,-0.45943275329768135,-0.0004085831160003298,-3.1604865338989567
10,low_ofi,1762,0.0013407378071642305,0.016619819834860133,3.3862615285815543,,
