horizon,bin,N,OFI_z_min,OFI_z_max,mean_ret
2,1,6779,-5.418903241769927,-0.8153038234417587,4.606294099742057e-05
2,2,6778,-0.8151362223772656,-0.22556107757560437,0.00010294105616205561
2,3,6778,-0.225427030367986,0.2657586308970709,0.0001472015282134808
2,4,6778,0.2657836575724897,0.8296839281982954,0.00010945351762033804
2,5,6779,0.8297209402395777,6.999593910893318,-2.4160957363206498e-05
5,1,6778,-5.418903241769927,-0.8153200335801422,0.00013100008204445731
5,2,6778,-0.8153038234417587,-0.225427030367986,0.00026722695809382245
5,3,6777,-0.22541900564991177,0.2657586308970709,0.0003039606029125276
5,4,6778,0.2657836575724897,0.8296839281982954,0.0002531271926637353
5,5,6778,0.8297209402395777,6.999593910893318,-9.437279340565248e-07
10,1,6777,-5.418903241769927,-0.8151362223772656,0.00034030963715962927
10,2,6777,-0.8150338608245855,-0.22530791727476762,0.00044182154553508863
10,3,6776,-0.22511392639504532,0.2657971070822962,0.0006525256714859941
10,4,6777,0.26582736684849034,0.8297209402395777,0.0002704441909221075
10,5,6777,0.8298707414498397,6.999593910893318,0.00019070772369442253
