horizon,bin,N,OFI_z_min,OFI_z_max,mean_ret
2,1,4813,-8.805761945856593,-0.8154365686270548,0.0007212674429139175
2,2,4813,-0.8153492608511743,-0.2911090444317274,0.0004344012782854583
2,3,4813,-0.29110870846408954,0.20177339485776835,0.0002771208813929896
2,4,4813,0.20179359140018385,0.8320500117473391,0.0007711475452846332
2,5,4813,0.8321010717130989,11.472404640491215,-4.909509253179955e-05
5,1,4813,-8.805761945856593,-0.8150279774328895,0.0015997390389753791
5,2,4812,-0.8149982747031486,-0.2909872778278977,0.0011248398967113131
5,3,4812,-0.2909072518823636,0.20179359140018385,0.0009742133152899103
5,4,4812,0.20194508106156753,0.8320500117473391,0.0014988451175353508
5,5,4813,0.8321010717130989,11.472404640491215,0.00013746657147993465
10,1,4812,-8.805761945856593,-0.8149982747031486,0.0025917549621857195
10,2,4811,-0.8149316548139527,-0.2909072518823636,0.0022374313259170874
10,3,4811,-0.29087514385218305,0.20195724248059718,0.0019366561582409357
10,4,4811,0.2020597525048541,0.8321010717130989,0.002598909626018296
10,5,4812,0.8321386373514018,11.472404640491215,0.0014007754725782213
