horizon,bin,N,OFI_z_min,OFI_z_max,mean_ret
2,1,1808,-4.685546999118203,-0.8295754468893114,0.00015987149588203144
2,2,1808,-0.829286165686317,-0.2293422168582593,0.0005385420940533027
2,3,1808,-0.22880396002474046,0.28378459527277755,0.00028424181060613356
2,4,1808,0.2839947876594625,0.8790086503466285,0.0008177515794980639
2,5,1808,0.8795769617604857,4.7262347609768325,-0.00037771928167402806
5,1,1808,-4.685546999118203,-0.8286324405884772,0.001056295514132181
5,2,1807,-0.8285627275257044,-0.22880396002474046,0.0006905167713129178
5,3,1807,-0.22867253385253578,0.28378459527277755,0.0011736525922137143
5,4,1807,0.2839947876594625,0.8790086503466285,0.0009615640319285459
5,5,1808,0.8795769617604857,4.7262347609768325,-0.0003002212101971941
10,1,1807,-4.685546999118203,-0.8286324405884772,0.002321616050442155
10,2,1806,-0.8285627275257044,-0.22880396002474046,0.0017629878201309594
10,3,1806,-0.22867253385253578,0.2839947876594625,0.002189914075042432
10,4,1806,0.28415302575858,0.8795769617604857,0.0014383156561186385
10,5,1807,0.8804566406532515,4.7262347609768325,-0.0005312137142624764
