horizon,bin,N,OFI_z_min,OFI_z_max,mean_ret
2,1,2395,-8.665171860082719,-0.7737519543532223,0.0009997338678486018
2,2,2395,-0.7737094399023674,-0.2903373298248629,0.0011700906133651496
2,3,2394,-0.2900969781778491,0.16734708971297566,0.00036368471393430455
2,4,2395,0.16738932493406306,0.8286932828498045,0.0010634843470647955
2,5,2395,0.8295208942482752,9.750772169304005,0.0002734739939585596
5,1,2395,-8.665171860082719,-0.7737094399023674,0.0018301633730423011
5,2,2394,-0.7736231530873915,-0.2900166132622587,0.003205418498779603
5,3,2394,-0.289887727195824,0.16743081576612254,0.0008758232273412051
5,4,2394,0.1676912728867979,0.8295208942482752,0.002466049747373429
5,5,2394,0.8300302203163049,9.750772169304005,0.0014454524992723817
10,1,2394,-8.665171860082719,-0.7730298319323103,0.0019399849021810194
10,2,2393,-0.7727593605915033,-0.2894546847290131,0.00571191011371218
10,3,2393,-0.28912247539321284,0.16784512415390554,0.0015324162729308938
10,4,2393,0.16808620418780026,0.8300302203163049,0.005551486764724427
10,5,2393,0.8307515892642836,9.750772169304005,0.004602479559932014
